may 29th

hypernetwork code results in output shape of (32,32,3).

Therfore 1st and the last cnn layer does not include hypernetwork.

Name                                          | Label      |        PC1 |        PC2
zs_unetblocks.7.z_list.13                     | unetblock  |   -0.22993 |    0.03669
zs_unetblocks.7.z_list.14                     | unetblock  |    1.67864 |   -0.51930
zs_unetblocks.7.z_list.15                     | unetblock  |   -1.04886 |    0.26623
zs_unetblocks.7.z_list.16                     | unetblock  |    0.38467 |   -0.74429
zs_unetblocks.7.z_list.17                     | unetblock  |    1.47508 |    0.34637
zs_unetblocks.7.z_list.18                     | unetblock  |    0.18710 |   -0.56588
zs_unetblocks.7.z_list.19                     | unetblock  |    0.76436 |    0.64081
zs_unetblocks.7.z_list.20                     | unetblock  |    1.79159 |    0.92564
zs_unetblocks.7.z_list.21                     | unetblock  |    0.86831 |    0.31481
zs_unetblocks.7.z_list.22                     | unetblock  |   -0.92972 |   -0.91650
zs_unetblocks.7.z_list.23                     | unetblock  |   -0.17322 |    0.14479
zs_unetblocks.7.z_list.24                     | unetblock  |    1.61600 |   -0.40777
zs_unetblocks.7.z_list.25                     | unetblock  |    0.21424 |   -0.21013
zs_unetblocks.7.z_list.26                     | unetblock  |    0.92890 |    1.01097
zs_unetblocks.7.z_list.27                     | unetblock  |    1.10425 |    1.26709
zs_unetblocks.7.z_list.28                     | unetblock  |    1.15431 |   -1.22740
zs_unetblocks.7.z_list.29                     | unetblock  |   -1.00149 |   -0.61879
zs_unetblocks.7.z_list.30                     | unetblock  |   -0.25717 |    1.03780
zs_unetblocks.7.z_list.31                     | unetblock  |    0.54435 |    0.48346
zs_unetblocks.7.z_list.32                     | unetblock  |   -2.81786 |    2.09122
zs_unetblocks.7.z_list.33                     | unetblock  |   -1.58005 |    0.42871
zs_unetblocks.7.z_list.34                     | unetblock  |   -0.80297 |    0.54281
zs_unetblocks.7.z_list.35                     | unetblock  |   -0.13253 |    1.07432
zs_unetblocks.7.z_list.36                     | unetblock  |   -0.57159 |    0.51617
zs_unetblocks.7.z_list.37                     | unetblock  |   -0.04132 |    0.67962
zs_unetblocks.7.z_list.38                     | unetblock  |   -2.63536 |    0.78110
zs_unetblocks.7.z_list.39                     | unetblock  |    0.93155 |    1.00579
zs_unetblocks.7.z_list.40                     | unetblock  |   -0.60295 |   -1.77976
zs_unetblocks.7.z_list.41                     | unetblock  |   -0.06144 |    0.57353
zs_unetblocks.7.z_list.42                     | unetblock  |   -1.24209 |   -0.14076
zs_unetblocks.7.z_list.43                     | unetblock  |   -0.61010 |    1.04644
zs_unetblocks.7.z_list.44                     | unetblock  |    1.93073 |   -0.91757
zs_unetblocks.7.z_list.45                     | unetblock  |    0.13993 |    0.41490
zs_unetblocks.7.z_list.46                     | unetblock  |   -1.22158 |    1.64715
zs_unetblocks.7.z_list.47                     | unetblock  |    0.20939 |    0.44094
zs_unetblocks.7.z_list.48                     | unetblock  |   -2.26343 |   -0.07742
zs_unetblocks.7.z_list.49                     | unetblock  |   -0.25702 |   -0.61344
zs_unetblocks.7.z_list.50                     | unetblock  |    1.44258 |   -0.09757
zs_unetblocks.7.z_list.51                     | unetblock  |    0.74263 |    1.35842
zs_unetblocks.7.z_list.52                     | unetblock  |   -0.03465 |   -0.66228
zs_unetblocks.7.z_list.53                     | unetblock  |   -0.03971 |    0.57866
zs_unetblocks.7.z_list.54                     | unetblock  |    0.41920 |    1.15790
zs_unetblocks.7.z_list.55                     | unetblock  |   -0.51571 |   -1.05859
zs_unetblocks.7.z_list.56                     | unetblock  |   -2.80515 |   -0.23718
zs_unetblocks.7.z_list.57                     | unetblock  |    0.05475 |   -0.15359
zs_unetblocks.7.z_list.58                     | unetblock  |   -1.34118 |    1.49056
zs_unetblocks.7.z_list.59                     | unetblock  |   -0.27356 |   -2.18400
zs_unetblocks.7.z_list.60                     | unetblock  |    0.09318 |    0.02407
zs_unetblocks.7.z_list.61                     | unetblock  |   -0.22167 |    2.14424
zs_unetblocks.7.z_list.62                     | unetblock  |    1.26474 |    0.61616
zs_unetblocks.7.z_list.63                     | unetblock  |   -2.56742 |    0.85616
zs_unetblocks.7.z_list.64                     | unetblock  |   -1.30534 |   -1.30810
zs_unetblocks.7.z_list.65                     | unetblock  |   -0.09805 |    0.30694
zs_unetblocks.7.z_list.66                     | unetblock  |    1.54281 |   -0.38759
zs_unetblocks.7.z_list.67                     | unetblock  |   -0.30792 |   -1.02560
zs_unetblocks.7.z_list.68                     | unetblock  |    0.89198 |    1.46778
zs_unetblocks.7.z_list.69                     | unetblock  |    0.04472 |   -0.77478
zs_unetblocks.7.z_list.70                     | unetblock  |    1.14995 |    2.64804
zs_unetblocks.7.z_list.71                     | unetblock  |   -0.36943 |    0.39823
zs_unetblocks.7.z_list.72                     | unetblock  |   -2.77426 |    1.57498
zs_unetblocks.7.z_list.73                     | unetblock  |    1.79742 |    0.58554
zs_unetblocks.7.z_list.74                     | unetblock  |    0.18847 |    0.67561
zs_unetblocks.7.z_list.75                     | unetblock  |    0.36002 |    0.75743
zs_unetblocks.7.z_list.76                     | unetblock  |   -2.75527 |    0.03148
zs_unetblocks.7.z_list.77                     | unetblock  |    0.74020 |    0.58439
zs_unetblocks.7.z_list.78                     | unetblock  |    0.16263 |   -0.05707
zs_unetblocks.7.z_list.79                     | unetblock  |   -0.71864 |    0.74596
zs_unetblocks.7.z_list.80                     | unetblock  |    0.16351 |   -0.70264
zs_unetblocks.7.z_list.81                     | unetblock  |   -0.05459 |    0.51331
zs_unetblocks.7.z_list.82                     | unetblock  |   -0.48000 |   -1.36085
zs_unetblocks.7.z_list.83                     | unetblock  |   -0.43574 |    0.12388
zs_unetblocks.7.z_list.84                     | unetblock  |   -0.71982 |   -0.79179
zs_unetblocks.7.z_list.85                     | unetblock  |   -1.00880 |   -1.89539
zs_unetblocks.7.z_list.86                     | unetblock  |    0.98940 |   -0.76446
zs_unetblocks.7.z_list.87                     | unetblock  |   -0.61684 |    1.14061
zs_unetblocks.7.z_list.88                     | unetblock  |   -1.59651 |    0.10920
zs_unetblocks.7.z_list.89                     | unetblock  |   -0.74978 |    0.71581
zs_unetblocks.7.z_list.90                     | unetblock  |   -1.28361 |    1.06895
zs_unetblocks.7.z_list.91                     | unetblock  |    0.73810 |    0.27112
zs_unetblocks.7.z_list.92                     | unetblock  |    1.78157 |    0.02891
zs_unetblocks.7.z_list.93                     | unetblock  |   -1.26812 |    0.06423
zs_unetblocks.7.z_list.94                     | unetblock  |   -1.02341 |    0.66759
zs_unetblocks.7.z_list.95                     | unetblock  |   -0.92033 |    0.01845
zs_unetblocks.7.z_list.96                     | unetblock  |   -0.77232 |   -0.62504
zs_unetblocks.7.z_list.97                     | unetblock  |   -0.63776 |    0.31255
zs_unetblocks.7.z_list.98                     | unetblock  |   -0.39529 |    0.88066
zs_unetblocks.7.z_list.99                     | unetblock  |    0.39552 |   -1.34446
zs_unetblocks.7.z_list.100                    | unetblock  |   -0.77896 |   -0.09416
zs_unetblocks.7.z_list.101                    | unetblock  |   -1.19865 |   -0.91789
zs_unetblocks.7.z_list.102                    | unetblock  |    1.44122 |   -1.04578
